accession	scientific_name	first_public	base_count
AF175212	Drosophila melanogaster	1999-10-06	951
AF175217	Drosophila melanogaster	1999-10-06	951
U64547	Drosophila pseudoobscura	1996-08-16	3471
U64551	Drosophila pseudoobscura	1996-08-16	3473
Y00602	Drosophila pseudoobscura	1987-09-19	3535
AF136665	Drosophila americana americana	1999-06-03	884
AF136672	Drosophila americana americana	1999-06-03	884
AF136705	Drosophila americana texana	1999-06-03	884
AF175211	Drosophila melanogaster	1999-10-06	951
AF459756	Drosophila phaeopleura	2002-05-16	290
KY002643	Drosophila melanogaster	2017-10-13	708
KY002644	Drosophila ananassae	2017-10-13	740
AB669840	Drosophila triauraria	2014-01-02	842
AB669881	Drosophila baimaii	2014-01-02	838
AB669889	Drosophila parvula	2014-01-02	864
AF136686	Drosophila americana americana	1999-06-03	884
AF175216	Drosophila melanogaster	1999-10-06	951
AF459786	Drosophila ficusphila	2002-05-16	290
KJ767240	Drosophila melanogaster	2014-09-04	872
AB669853	Drosophila punjabiensis	2014-01-02	836
AF136670	Drosophila americana americana	1999-06-03	884
AF136696	Drosophila americana americana	1999-06-03	884
AF459747	Drosophila paralutea	2002-05-16	290
U64532	Drosophila pseudoobscura	1996-08-16	3392
U64545	Drosophila pseudoobscura	1996-08-16	3474
U64560	Drosophila pseudoobscura	1996-08-16	3467
AB669891	Drosophila pectinifera	2014-01-02	841
AB669868	Drosophila lini	2014-01-02	843
AB669883	Drosophila bicornuta	2014-01-02	838
AF136683	Drosophila americana americana	1999-06-03	884
AF136687	Drosophila americana americana	1999-06-03	884
AF136708	Drosophila americana texana	1999-06-03	884
AF175220	Drosophila melanogaster	1999-10-06	951
AF201427	Drosophila sechellia	2000-07-03	482
AF459746	Drosophila tolteca	2002-05-16	290
AF459765	Drosophila seguyi	2002-05-16	290
AF459784	Drosophila ercepeae	2002-05-16	290
AF459785	Drosophila elegans	2002-05-16	290
U64528	Drosophila pseudoobscura	1996-08-16	3488
U64556	Drosophila pseudoobscura	1996-08-16	3471
KY002645	Drosophila ananassae	2017-10-13	1301
U64543	Drosophila pseudoobscura	1996-08-16	3458
U64524	Drosophila pseudoobscura	1996-08-16	3498
U64549	Drosophila pseudoobscura	1996-08-16	3470
U64548	Drosophila pseudoobscura	1996-08-16	3498
AB703322	Drosophila miranda	2012-03-18	405
AF136675	Drosophila americana americana	1999-06-03	884
AY340305	Drosophila americana	2003-08-13	881
AY364509	Drosophila mojavensis	2004-01-30	880
EF216312	Drosophila hubeiensis	2007-06-10	431
AB669865	Drosophila leontia	2014-01-02	832
AB669890	Drosophila pectinifera	2014-01-02	841
AY541095	Drosophila innubila	2004-12-13	555
KJ767242	Drosophila yakuba	2014-09-04	865
AB669839	Drosophila tani	2014-01-02	838
AB703318	Drosophila athabasca	2012-03-18	405
AB830534	Drosophila lacteicornis	2014-01-12	838
AY340287	Drosophila americana	2003-08-13	881
AY340301	Drosophila americana	2003-08-13	881
AY340306	Drosophila americana	2003-08-13	881
AY364520	Drosophila mojavensis	2004-01-30	879
AY874362	Drosophila subobscura	2005-05-31	1406
AB669835	Drosophila rufa	2014-01-02	838
AB825961	Drosophila fengkainensis	2015-12-16	840
AF459758	Drosophila malerkotliana malerkotliana	2002-05-16	290
U76478	Drosophila mulleri	1997-03-06	902
U20765	Drosophila melanogaster	1995-03-12	2365
AY044127	Drosophila sulfurigaster	2002-08-06	716
AY154832	Drosophila mojavensis	2003-03-03	880
AY154852	Drosophila arizonae	2003-03-03	880
AY154856	Drosophila arizonae	2003-03-03	880
AY154863	Drosophila arizonae	2003-03-03	880
M17833	Drosophila melanogaster	1991-07-01	2727
M60995	Drosophila pseudoobscura bogotana	1992-01-26	3475
AB669847	Drosophila tsacasi	2014-01-02	838
AY044131	Drosophila hypocausta	2002-08-06	723
M17835	Drosophila melanogaster	1991-07-01	2769
AB669875	Drosophila birchii	2014-01-02	833
AB669877	Drosophila bunnanda	2014-01-02	826
AB932651	Drosophila cardinoides	2014-10-26	834
AY044123	Drosophila oritisa	2002-08-06	725
M60993	Drosophila pseudoobscura bogotana	1992-01-26	3485
AB932654	Drosophila dunni	2014-10-26	839
AB669873	Drosophila nikananu	2014-01-02	839
AB932663	Drosophila nigrodunni	2014-10-26	840
AF067280	Drosophila affinis	1998-07-02	430
AY044121	Drosophila curviceps	2002-08-06	725
AY154842	Drosophila arizonae	2003-03-03	878
AY364495	Drosophila mojavensis	2004-01-30	880
AF067284	Drosophila tsukubaensis	1998-07-02	830
AY154835	Drosophila mojavensis	2003-03-03	880
AB194426	Drosophila ananassae	2005-05-07	1757
AF045116	Drosophila sturtevanti	1998-06-02	405
AF045119	Drosophila prosaltans	1998-06-02	405
AY154867	Drosophila mojavensis	2003-03-03	879
AY154872	Drosophila mojavensis	2003-03-03	880
M17845	Drosophila melanogaster	1988-04-02	795
AY154827	Drosophila mojavensis	2003-03-03	880
AY154836	Drosophila mojavensis	2003-03-03	880
U40986	Drosophila bifasciata	1996-09-27	429
AB194425	Drosophila pseudoananassae pseudoananassae	2005-05-07	1762
AB194423	Drosophila malerkotliana pallens	2005-05-07	1775
AF348879	Drosophila triauraria	2001-04-16	668
AF151684	Drosophila virilis	2000-05-03	6045
AI062419	Drosophila melanogaster	1998-07-27	621
BG632144	Drosophila melanogaster	2001-04-28	690
CV787951	Drosophila yakuba	2004-11-12	711
BI571735	Drosophila melanogaster	2001-09-07	548
BI570978	Drosophila melanogaster	2001-09-07	694
BI571817	Drosophila melanogaster	2001-09-07	535
AF171740	Drosophila melanogaster	1999-08-25	562
AI404819	Drosophila melanogaster	1999-02-10	667
AY695383	Drosophila antillea	2006-08-01	1144
BF503615	Drosophila melanogaster	2000-12-07	730
BI241261	Drosophila melanogaster	2001-07-15	679
BI606073	Drosophila melanogaster	2001-09-10	593
BI618605	Drosophila melanogaster	2001-09-11	647
BI622627	Drosophila melanogaster	2001-09-11	582
CK133169	Drosophila melanogaster	2003-12-03	633
BI613172	Drosophila melanogaster	2001-09-11	636
